year,magnitude,age,deciduous,conifers,protected,elevation,precipitation,temperature,precipitation_lag1,temperature_lag1,precipitation_lag2,temperature_lag2,precipitation_lag3,temperature_lag3,cmi,rh,cmi_lag1,rh_lag1,cmi_lag2,rh_lag2,cmi_lag3,rh_lag3
2014, 1715, 79.36,82.17,17.64,0,472,1048,2.96,1097,3.66, 900,5.57, 987,4.68,57.9,60.0,59.8,60.7,33.5,61.0,46.6,62.0
2016, -764, 83.44,83.66,16.15,0,481,1002,5.25, 917,4.39,1090,3.35,1139,4.15,44.6,59.0,38.2,59.0,62.3,61.0,63.9,62.0
2018, -638, 66.44,53.50,46.50,0,304, 878,4.24,1068,4.39, 899,4.91, 815,4.09,32.0,58.0,53.8,58.6,32.1,56.6,24.7,55.0
2008, -627, 59.44,53.61,45.16,0,335,1064,4.30, 832,4.63, 984,5.73, 798,5.10,56.3,58.7,26.4,58.0,45.3,62.0,20.9,57.0
2009,  535, 73.30,79.14,20.85,0,422,1095,4.07,1324,4.27,1025,4.76,1101,5.57,63.6,62.0,84.7,61.0,47.7,61.0,58.7,63.0
2019,-2271, 85.32,76.49,23.36,0,384,1194,3.84,1096,5.00,1347,5.00, 995,5.54,68.4,59.0,55.0,62.0,83.2,63.0,41.6,60.0
2007, -438, 62.84,72.90,27.09,0,330, 884,3.90,1019,4.90, 818,4.30, 809,3.09,31.9,56.0,49.0,60.0,23.2,55.0,31.4,57.0
2010,  584,109.00,78.17,21.77,0,331, 898,6.20, 923,4.12,1006,4.24, 860,4.54,32.9,63.0,43.0,60.0,49.0,58.0,28.2,58.0
2013,-1696, 82.54,85.54,14.41,0,484,1120,3.80, 912,5.70, 992,4.80, 971,5.35,62.3,61.0,34.8,61.9,47.3,62.0,44.2,63.0
2012, -823, 53.12,63.88,29.08,0,354, 881,6.07, 956,5.23, 933,5.77, 983,3.84,29.5,61.0,41.6,61.9,38.2,62.0,50.5,59.0
